Date,Flow,SSC
2012-09-07,0.253630515372673,8
2012-09-08,0.303223074244425,177
2012-09-09,0.368401865904441,17
2012-09-10,0.289053771709639,9
2012-09-11,0.258164692183805,6
2012-09-12,0.242861845446236,6
2012-09-13,0.228125770810058,6
2012-09-14,0.221607891644056,8
2012-09-15,0.226142068455188,9
2012-09-16,0.216506942731533,6
2012-09-17,0.209705677514836,6
2012-09-18,25.8164692183805,1680
2012-09-19,14.0842867195775,790
2012-09-20,5.18596472773175,348
2012-09-21,3.2872781880704,262
2012-09-22,2.74884469174852,344
2012-09-23,2.63265641096328,245
2012-09-24,2.0942229146414,168
2012-09-25,1.77116281684828,141
2012-09-26,1.5444539762917,129
2012-09-27,1.3517514618186,121
2012-09-28,3.03223074244425,525
2012-09-29,3.06056934751382,251
2012-09-30,2.63549027147023,190
2012-10-01,2.30676245266319,135
2012-10-02,2.08855519362749,234
2012-10-03,1.89018495814048,158
2012-10-04,2.9755535323051,508
2012-10-05,3.48564842355741,213
2012-10-06,3.06056934751382,184
2012-10-07,2.72050608667895,126
2012-10-08,2.4456216175041,104
2012-10-09,2.16790328782229,88
2012-10-10,2.22741435846839,150
2012-10-11,2.05171500703704,90
2012-10-12,1.83350774800134,71
2012-10-13,1.63230365200737,61
2012-10-14,1.57279258136127,80
2012-10-15,1.51611537122212,130
2012-10-16,1.44810271905515,88
2012-10-17,1.30357583320033,85
2012-10-18,1.20439071545683,133
2012-10-19,22.4441752151014,1700
2012-10-20,16.4930681504911,584
2012-10-21,9.09669222733275,267
2012-10-22,6.20615451023636,182
2012-10-23,4.90257867703603,170
2012-10-24,4.16577494522715,120
2012-10-25,3.42897121341826,70
2012-10-26,2.94721492723553,71
2012-10-27,2.61281938741458,63
2012-10-28,2.38894440736495,59
2012-10-29,4.47749960099244,NA
2012-10-30,15.841280233891,NA
2012-10-31,12.724033676238,NA
2012-11-01,8.61493594115001,125
2012-11-02,6.37618614065379,98
2012-11-03,5.04427170238389,75
2012-11-04,4.109097735088,49
2012-11-05,3.45730981848783,38
2012-11-06,2.94721492723553,35
2012-11-07,2.60431780589371,32
2012-11-08,2.37477510483017,28
2012-11-09,2.08288747261357,25
2012-11-10,1.87318179509874,32
2012-11-11,1.67764542011869,27
2012-11-12,1.54162011578474,23
2012-11-13,2.70633678414417,146
2012-11-14,2.31809789469102,29
2012-11-15,2.12539538021793,21
2012-11-16,2.02337640196747,19
2012-11-17,1.91285584219614,16
2012-11-18,1.81083686394568,14
2012-11-19,1.73148876975087,13
2012-11-20,1.64930681504911,11
2012-11-21,1.55012169730561,8
2012-11-22,1.45660430057602,9
2012-11-23,1.39142550891601,11
2012-11-24,1.31774513573512,11
2012-11-25,1.2327293205264,9
2012-11-26,1.14771350531768,8
2012-11-27,1.09953787669941,8
2012-11-28,1.03152522453244,8
2012-11-29,0.960678711858505,7
2012-11-30,0.915336943747189,7
2012-12-01,0.889832199184574,7
2012-12-02,0.90400150171936,26
2012-12-03,0.974848014393291,19
2012-12-04,0.898333780705446,10
2012-12-05,0.858659733608044,10
2012-12-06,0.8218195470176,8
2012-12-07,0.804816383975857,8
2012-12-08,1.02585750351852,46
2012-12-09,0.969180293379377,19
2012-12-10,1.24123090204727,57
2012-12-11,1.42259797449254,32
2012-12-12,1.39992709043688,11
2012-12-13,1.39992709043688,11
2012-12-14,1.39992709043688,10
2012-12-15,1.36025304333948,9
2012-12-16,1.37442234587426,11
2012-12-17,1.68898086214652,62
2012-12-18,6.5745563761408,286
2012-12-19,5.83775264433192,44
2012-12-20,4.70420844154902,33
2012-12-21,28.1118962290158,481
2012-12-22,14.8494290564559,135
2012-12-23,8.7282903614283,70
2012-12-24,6.14947730009721,49
2012-12-25,4.81756286182731,38
2012-12-26,3.93906610467057,29
2012-12-27,3.5990028438357,28
2012-12-28,2.89053771709639,24
2012-12-29,2.59581622437283,24
2012-12-30,2.35777194178843,23
2012-12-31,2.11122607768315,26
2013-01-01,1.92702514473092,21
2013-01-02,1.76832895634132,19
2013-01-03,1.58129416288214,16
2013-01-04,1.55862327882648,21
2013-01-05,1.38009006688818,17
2013-01-06,1.30924355421425,15
2013-01-07,1.23556318103336,19
2013-01-08,1.15904894734551,18
2013-01-09,1.09670401619245,15
2013-01-10,1.07119927162984,20
2013-01-11,1.04286066656026,17
2013-01-12,1.17605211038726,38
2013-01-13,1.43393341652036,56
2013-01-14,2.91887632216596,153
2013-01-15,3.74069586918356,52
2013-01-16,3.57066423876612,35
2013-01-17,3.11724655765297,28
2013-01-18,2.66949659755372,22
2013-01-19,2.52213585119194,26
2013-01-20,2.38327668635104,33
2013-01-21,2.11122607768315,17
2013-01-22,1.6436390940352,14
2013-01-23,1.50761378970125,13
2013-01-24,1.43109955601341,12
2013-01-25,1.37725620638122,13
2013-01-26,1.30924355421425,17
2013-01-27,1.26673564660989,16
2013-01-28,1.22989546001944,20
2013-01-29,1.28090494914467,38
2013-01-30,1.55862327882648,148
2013-01-31,6.40452474572337,410
2013-02-01,4.08075913001843,53
2013-02-02,3.45730981848783,31
2013-02-03,3.03223074244425,31
2013-02-04,2.71200450515808,18
2013-02-05,2.43428617547627,16
2013-02-06,2.06021658855791,18
2013-02-07,1.81650458495959,20
2013-02-08,1.69181472265347,17
2013-02-09,1.57562644186823,16
2013-02-10,1.45377044006906,24
2013-02-11,1.50761378970125,21
2013-02-12,1.32908057776295,20
2013-02-13,1.22139387849857,25
2013-02-14,1.15904894734551,25
2013-02-15,1.12504262126203,26
2013-02-16,1.09953787669941,19
2013-02-17,0.943675548816761,20
2013-02-18,0.881330617663702,18
2013-02-19,0.889832199184574,11
2013-02-20,0.807650244482814,10
2013-02-21,0.765142336878455,8
2013-02-22,0.750973034343669,8
2013-02-23,0.756640755357583,8
2013-02-24,0.759474615864541,13
2013-02-25,0.702797405725396,10
2013-02-26,0.677292661162781,12
2013-02-27,1.90152040016831,247
2013-02-28,2.03754570450226,103
2013-03-01,1.46793974260385,56
2013-03-02,1.22422773900553,25
2013-03-03,1.10520559771332,18
2013-03-04,1.02018978250461,14
2013-03-05,0.966346432872419,21
2013-03-06,0.938007827802847,20
2013-03-07,0.901167641212403,17
2013-03-08,0.912503083240232,15
2013-03-09,0.929506246281975,46
2013-03-10,1.02585750351852,54
2013-03-11,1.14487964481073,90
